drugName,drugPrescStat,price,manufNo,maxDosage,Disease
Stress Formula W Iron Cap,O, 0000.0000,011498,200,Monieziasis
Bentasil Red,O, 0000.0000,000000,200,Otosclerosis 7
Loniten 2.5mg,P, 0000.0000,004908,200,AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA
Loniten 10mg,P, 0000.0000,004908,200,Connective Tissue Nevus
Loftran Cap 15mg,P, 0000.0000,000000,200,"GLAUCOMA 3, PRIMARY CONGENITAL, E"
Loftran Cap 30mg,P, 0000.0000,000000,200,"EXOSTOSES, MULTIPLE, TYPE I"
Duolube 3.5g Packet Ointment,O, 0000.0000,000000,200,"Niemann-Pick Disease, Type B"
Murocel Liq 1%,O, 0000.0000,000000,200,Deafness conductive ptosis skeletal anomalies
Selax Cap 100mg,O, 0000.0000,004835,200,Cataract congenital Volkmann type
Magnega 130,O, 0000.0000,004208,200,Foreign Bodies
Herbal Laxative Tab,O, 0000.0000,005225,200,Connective Tissue Nevus
Micro K Extencaps 600mg,O, 0000.0000,000000,200,"Gingivitis, Necrotizing Ulcerative"
Povidone Iodine Solution,O, 0000.0000,004907,200,Hemolytic Anemia with Thermal Sensitivity of Red Cells
Sulfamethoxazole And Trimethoprim Tablets,P, 0000.0000,009511,200,Hemolytic Anemia with Thermal Sensitivity of Red Cells
Myclo Crm 50mg,O, 0000.2087,003617,200,"High serum cholesterol, familial"
Myclo Tab 100mg,O, 0000.0000,003617,200,"Krabbe Disease, Atypical, due to Saposin A Deficiency"
Timedose Vitamin C Tab 500mg,O, 0000.0000,005088,200,Foot Deformities
Hepaticol Tab,O, 0000.0000,003806,200,Nidovirales Infections
Promatussin Dm Adult Formula,O, 0000.0000,000000,200,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 51"
Sterile Water For Inhalation,O, 0000.0000,000000,200,"Neutropenia, severe chronic"
Meda Cal,O, 0000.0000,000000,200,"Coronary Artery Disease, Autosomal Dominant, 1"
Meda Cidin Tab,O, 0000.0000,000000,200,Oculoauriculofrontonasal syndrome
Dixarit Tab 0.025mg,P, 0000.2791,003617,200,Foreign Bodies
Time Released Pantothenic Acid Tab 500mg,O, 0000.0000,000000,200,Immersion Foot
Brut 33 Light Pwr Antipersp Spray,O, 0000.0000,000000,200,"Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails"
Synergistic Manganese Cap,O, 0000.0000,004992,200,Miyoshi myopathy
Cortisporin Oph Ont,P, 0000.0000,000000,200,"Deafness, Sensorineural, with Hypertrophic Cardiomyopathy"
Vitamin B Complex Cap,O, 0000.0000,000000,200,Leber Congenital Amaurosis 4
Vitamin B Compound W Vit C 250mg Tab,O, 0000.0000,005225,200,Connective Tissue Nevus
Niacinamide Pwr 750mg/1.25ml,O, 0000.0000,004448,200,Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia
Childrens Chewable Vitamins,O, 0000.0000,004800,200,"Hypogonadotropic hypogonadism and anosmia, autosomal dominant"
Domol Bath Oil,O, 0000.0000,000000,200,"CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2Z"
Dtic Dome Inj 200mg/Vial,P, 0000.0000,000000,200,"Digital Arthropathy-Brachydactyly, Familial"
Tridesilon Ont 0.05%,P, 0000.3426,000000,200,Histrionic Personality Disorder
Vitamin E/Selenium Cap,O, 0000.0000,004403,200,"Mental Retardation, X-Linked 59"
Papaya Enzyme Tab 30mg,O, 0000.0000,005225,200,Panniculitis
Ovoquinol Cones,P, 0000.0000,004729,200,Calabro syndrome
Antihistamine Expec Cough Syr,O, 0000.0000,000000,200,"GLAUCOMA 3, PRIMARY CONGENITAL, E"
Neosporin Oph Ont,P, 0000.0000,000000,200,Gastric Dilatation
Prolopa Cap 50-12.5,P, 0000.0000,004328,200,Hypercapnia
Apo-Naproxen,P, 0000.0000,003636,200,Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly
Bronchophan Forte Dm Syr,O, 0000.0000,003659,200,"Acrokeratoderma, Hereditary Papulotranslucent"
Nyaderm Ont 100000unit/Gm,O, 0000.0000,000000,200,"PROTHROMBIN DEFICIENCY, CONGENITAL"
Gelofluor,O, 0000.0000,000000,200,Radius absent anogenital anomalies
Corgard Tab 160mg,P, 0000.0000,005180,200,Marfan Syndrome type 2
E 400iu Cap,O, 0000.0000,004227,200,Ectoparasitic Infestations
Complete Mega Enzyme Tab,O, 0000.0000,000000,200,Glycogen Storage Disease Type III
B Compound 100mg Srt,O, 0000.0000,000000,200,Hyperhidrosis
Dhs Zinc Dandruff Shp,O, 0000.0000,004891,200,"Leukocyte Nuclear Appendages, Hereditary Prevalence of"
Fluanxol Depot Inj 100mg/Ml,P, 0000.0000,000000,200,LEUKODYSTROPHY AND ACQUIRED MICROCEPHALY WITH OR WITHOUT DYSTONIA
Flagyl Inj 5mg/Ml,P, 0000.0000,000000,200,"Rhinitis, Atrophic"
Vm Multi,O, 0000.0000,000000,200,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2
Cal-K Tab,O, 0000.0000,005165,200,"Basaloid Follicular Hamartoma Syndrome, Generalized, Autosomal Dominant"
Balmex Ont,O, 0000.0000,000000,200,"CARDIOMYOPATHY, DILATED, 1KK"
Nitrong Ont 2%,O, 0000.0000,000000,200,Methylenetetrahydrofolate reductase deficiency
Fluclox 250,P, 0000.0000,003691,200,Retrognathia
Feldene Cap 10mg,P, 0000.2390,004908,200,Feline Infectious Peritonitis
Chloroplex,O, 0000.0000,000000,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3"
Hemoplex,O, 0000.0000,000000,200,Hypobetalipoproteinemias
Selenium 50 Tab,O, 0000.0000,000000,200,Addison Disease
Niacin 100 Tab,O, 0000.0000,000000,200,Noonan syndrome 3
Ramses Vaginal Jelly,O, 0000.0000,000000,200,Leigh Syndrome Due To Mitochondrial Complex II Deficiency
E Pilo 4,O, 0000.3146,000000,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3"
E Pilo 6,O, 0000.0000,000000,200,Heart Aneurysm
Caltab Plus Tab,O, 0000.0000,000000,200,Laryngeal Edema
Miocarpine 6%,O, 0000.0000,000000,200,"Lp(A) Deficiency, Congenital"
Bronchodex V,O, 0000.0000,000000,200,Iatrogenic Disease
Complamin 300mg,P, 0000.0000,000000,200,Holoprosencephaly 6
Complamin 150mg,P, 0000.0000,000000,200,"Purpura, Thrombocytopenic"
Furosemide Inj Usp,P, 0000.0000,012027,200,"BLEEDING DISORDER, PLATELET-TYPE, 15"
Tagamet Inj 150mg/Ml,P, 0000.0000,000000,200,Megalencephaly with Dysmyelination
Asendin Tab 25mg,P, 0000.0000,000000,200,Out-of-Hospital Cardiac Arrest
Asendin Tab 50mg,P, 0000.0000,000000,200,Otosclerosis 7
Asendin Tab 100mg,P, 0000.0000,000000,200,Monieziasis
Asendin Tab 150mg,P, 0000.0000,000000,200,"FEBRILE SEIZURES, FAMILIAL, 11"
Stress Paks For Supermarkets,O, 0000.0000,004403,200,Addison Disease
Ultra B Srt,O, 0000.0000,003612,200,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 32"
Miocarpine 1%,O, 0000.2405,000000,200,"DEAFNESS, AUTOSOMAL RECESSIVE 84A"
Miocarpine 4%,O, 0000.3146,000000,200,"Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails"
Panoxyl 10 Bar 10%,P, 0000.0000,009985,200,Diabetic Cardiomyopathies
Vasocidin Oph/Otic Solution,P, 0000.0000,000000,200,"Reflex, Abnormal"
Vasocon Eye Drops 0.1%,O, 0000.0000,000000,200,Agenesis of Corpus Callosum
Vasosulf,P, 0000.0000,000000,200,Duodenal Diseases
Vitamin C Srt 1000mg,O, 0000.0000,003612,200,Atelosteogenesis type 2
Bio Balanced Multip Minerals W Selenium,O, 0000.0000,000000,200,"Hyperinsulinemic hypoglycemia, familial, 3"
Bio Natur,O, 0000.0000,000000,200,"Epiphyseal Dysplasia, Baumann Type"
Vitamin B12 Tab 100mcg,O, 0000.0000,004287,200,Paraganglioma
Vit C Tab 1000mg,O, 0000.0000,004287,200,"Hyperinsulinemic hypoglycemia, familial, 3"
Propine Liq 0.1%,P, 0000.0000,003574,200,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 32"
Roubac Tab 80/400,P, 0000.0521,005003,200,"Conjunctivitis, Viral"
Orafix Medicated Pst,O, 0000.0000,000000,200,Rozin Hertz Goodman syndrome
Balanced B50 Complex,O, 0000.0000,004287,200,"Nephroma, Mesoblastic"
Calcium Chelate Plus Vit D,O, 0000.0000,004287,200,"Esophageal Spasm, Diffuse"
Digestive Enzymes,O, 0000.0000,004287,200,Craniopharyngioma
B Complex W C Cap,O, 0000.0000,004287,200,"Chondrodysplasia, blomstrand type"
Huile De Foie De Fletan Cap,O, 0000.0000,000000,200,Chromosome 2p16.1-P15 Deletion Syndrome
B2 Tab 100mg,O, 0000.0000,005450,200,Beta-Ureidopropionase Deficiency
Asa 325mg,O, 0000.0000,008541,200,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 38"
B6 Tab 250mg,O, 0000.0000,005450,200,Pancreatoblastoma
Baros Effervescent Granules,O, 0000.0000,000000,200,Esophageal and Gastric Varices
Chelated Dol Mite Tab,O, 0000.0000,005225,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3"
Flutone Crm 0.05%,P, 0000.0000,000000,200,Otorhinolaryngologic Diseases
Naprosyn Sup 500mg,P, 0000.0000,000000,200,Leigh Syndrome Due To Mitochondrial Complex II Deficiency
Jay Stress Tab 800mg,O, 0000.0000,004403,200,Pacman dysplasia
B With C 500 Cap,O, 0000.0000,004933,200,Anophthalmia plus syndrome
Theophylline Elx,P, 0000.0000,003633,200,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
Sea Breeze Antiseptic Skin Cleanser,O, 0000.0000,005626,200,"Lp(A) Deficiency, Congenital"
Ihle'S Paste,O, 0000.0000,005003,200,Corneal Endothelial Cell Loss
Esprit De Menthe Poivref,O, 0000.0000,000000,200,"Chylothorax, congenital"
Flutone Ont 0.05%,P, 0000.0000,000000,200,"Nephroma, Mesoblastic"
Teva-Triamterene/Hctz,P, 0000.0000,014318,200,Diabetic Cardiomyopathies
Professional Pride Fluoride Gel,O, 0000.0000,000000,200,Chromosome 8 ring
Cascara Aromatique Elixir,O, 0000.0000,000000,200,Equine Infectious Anemia
Tobramycin For Injection,P, 0000.0000,016555,200,Marfan Syndrome type 2
Lanacane Crm Medication,O, 0000.0000,003925,200,"Rhinitis, Allergic, Perennial"
Chronulac Syr,O, 0000.0157,004657,200,Anonychia-onychodystrophy with brachydactyly type B and ectrodactyly
Lopresor Sr 200 Mg,P, 0000.3493,007277,200,HYPERGLYCINURIA
Slow Trasicor Tab 80mg,P, 0000.0000,007277,200,Pruritic urticarial papules plaques of pregnancy
Slow Trasicor Tab 160mg,P, 0000.0000,007277,200,"Mandibulofacial dysostosis, Treacher Collins type, autosomal recessive"
Vitogen B Stress C Vit E Zinc + Cop,O, 0000.0000,000000,200,"DEAFNESS, AUTOSOMAL RECESSIVE 84A"
Blood Stop,O, 0000.0000,000000,200,"Gingivitis, Necrotizing Ulcerative"
D'Pantothenic Acid Srt 1000mg,O, 0000.0000,004227,200,"Rhinitis, Allergic, Perennial"
Trianide Ont 0.025% Mild,P, 0000.0000,003633,200,C1q DEFICIENCY
Fluonide Crm 0.01% Mild,P, 0000.0000,003633,200,Duodenal Diseases
Ratio-Ectosone Mild Cream 0.05%,P, 0000.0000,014318,200,Chronic Kidney Disease-Mineral and Bone Disorder
Ratio-Ectosone Regular Cream 0.1%,P, 0000.0000,014318,200,Miles-Carpenter x-linked mental retardation syndrome
Cod Liver Oil 20 Min Capsules,O, 0000.0000,004287,200,"Chromosome 2, monosomy 2pter p24"
Aminophylline Inj 50mg/Ml,O, 0000.0000,005180,200,Cleft palate X-linked
Calcium Gluconate Inj 10%,O, 0000.0000,005180,200,Loose Anagen Hair Syndrome
B Plus C 600 Tab,O, 0000.0000,004773,200,Hyaluronidase Deficiency
Olympian Multi Vit Plus Minerals Tab,O, 0000.0000,000000,200,"Krabbe Disease, Atypical, due to Saposin A Deficiency"
Vit C 250mg Tab Orange Flavored,O, 0000.0000,005450,200,"High serum cholesterol, familial"
Fluoritabs Chewable 2.21mg,O, 0000.0000,005450,200,Neural crest tumor
Fluorosol Drops,O, 0000.0000,005450,200,"ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES"
Vit E Cap 800unit,O, 0000.0000,011498,200,Heart Aneurysm
Ascorbic Acid Powder,O, 0000.0000,003537,200,Discrete Subaortic Stenosis
Sedaphan Tab,O, 0000.0000,003612,200,Otorhinolaryngologic Diseases
Vitamin C 500mg Caps Time Release,O, 0000.0000,004475,200,Pemphigoid Gestationis
Anthranol Cream 0.1%,O, 0000.0000,009099,200,"ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES"
Anthranol Cream 0.4%,O, 0000.0000,005208,200,Lubs X-linked mental retardation syndrome
Tender Age Multi Vitamins,O, 0000.0000,004403,200,Naegeli syndrome
Ortho 10/11 Tablets (28 Day),P, 0000.0000,007259,200,Diastasis Recti And Weakness Of The Linea Alba
Ortho 10/11 Tablets (21 Day),P, 0000.0000,007259,200,"PONTOCEREBELLAR HYPOPLASIA, TYPE 2D"
Stress B Tab,O, 0000.0000,004096,200,Metabolic Syndrome
Vit C Ctr 500mg,O, 0000.0000,000000,200,Neural crest tumor
Calcium Ascorbate Ctr Srt 450mg,O, 0000.0000,000000,200,"Mental Retardation, X-Linked 84"
Niacinamide Ctr Srt 500mg,O, 0000.0000,000000,200,Gout
Selenium Ctr Srt 50mg,O, 0000.0000,000000,200,Histrionic Personality Disorder
Chewable Multivitamins,O, 0000.0000,004287,200,Acute Pain
Indigel Plus Liquid,O, 0000.0000,000000,200,Rectocele
Occu-Cal Drops,P, 0000.0000,000000,200,"Mental Retardation, X-Linked 3"
Maalox Tc Tablets,O, 0000.0000,000000,200,"Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy"
Camphorated Ointment Compound,O, 0000.0000,000000,200,"Mandibulofacial dysostosis, Treacher Collins type, autosomal recessive"
Honey Bee Venom Inj 100mcg/Ml,O, 0000.0000,000000,200,Lubs X-linked mental retardation syndrome
Wasp Venom Protein Inj 100mcg/Ml,O, 0000.0000,000000,200,Hypercapnia
Yellow Jacket Venom Protein Inj 100mcg/Ml,O, 0000.0000,000000,200,"ARTHROGRYPOSIS, MENTAL RETARDATION, AND SEIZURES"
Mega Chrome T V Tab 100mcg,O, 0000.0000,004448,200,Chronic Kidney Disease-Mineral and Bone Disorder
Desquam X Wash,P, 0000.0000,000000,200,"Epiphyseal Dysplasia, Baumann Type"
Time Rel Balanced B Tab,O, 0000.0000,004484,200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5
Desquam X 5% Wash,O, 0000.0000,000000,200,"Nephropathy, Progressive Tubulointerstitial, with Cholestatic Liver Disease"
Strawberry Extract,O, 0000.0000,005003,200,Flatulence
Imap Forte Inj 10mg/Ml,P, 0000.0000,004570,200,"MYOPIA 19, AUTOSOMAL DOMINANT"
Sulfate Ferreux 300mg Tab,O, 0000.0000,004901,200,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 45"
Zinc Amino Chelate Tab 50mg,O, 0000.0000,000000,200,"Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy"
C Max Tab 1000mg,O, 0000.0000,005365,200,"Cardiomyopathy, Familial Hypertrophic, 10"
Bio Balanced Iron Cap,O, 0000.0000,000000,200,"MYOPIA 19, AUTOSOMAL DOMINANT"
Propa Ph 5,O, 0000.0000,003945,200,"Amyloidosis, Cerebroarterial, App-Related"
Parvolex Inj 200mg/Ml,O, 0000.0000,000000,200,Hoyeraal Hreidarsson syndrome
Salazopyrin Enema,P, 0000.0000,000000,200,"Chromosome 1q, duplication 1q12 q21"
Prednisolone Sodium Phosphate 0.5% Minims,P, 0000.0000,003732,200,Gout
Apo Acetaminophen Tab 500mg,O, 0000.0000,003636,200,Pemphigoid Gestationis
Acetazolamide,P, 0000.0000,014412,200,Legg-Calve-Perthes Disease
Apo-Bisacodyl,O, 0000.0000,003636,200,"Retinoschisis, Autosomal Dominant"
Apo-Ferrous Gluconate,O, 0000.0000,003636,200,"Hyperinsulinemic hypoglycemia, familial, 3"
Trihexyphenidyl,P, 0000.0000,014412,200,"Congenital Lipomatous Overgrowth, Vascular Malformations, and Epidermal Nevi"
Metronidazole,P, 0000.0000,014412,200,"MICROCEPHALY, POSTNATAL PROGRESSIVE, WITH SEIZURES AND BRAIN ATROPHY"
Nutraide Cascara Sagrada Cap 400mg,O, 0000.0000,004810,200,"Chromosome 5, monosomy 5q35"
Sedicin Tab 25mg,O, 0000.0000,003555,200,Feline Infectious Peritonitis
Beclovent Rotacaps 100mcg,P, 0000.0000,000000,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 2"
Erythro-S,P, 0000.0000,014412,200,Chromosome 2p16.1-P15 Deletion Syndrome
Theolair Sr 300mg,P, 0000.1890,000000,200,"Neutropenia, severe chronic"
Vm No 10-Magnese Tab,O, 0000.0000,005365,200,Posterior column ataxia
Claforan 0.5gm/Vial,P, 0000.0000,000000,200,Kallmann Syndrome 2 with Bimanual Synkinesia
Claforan 1gm/Vial,P, 0000.0000,000000,200,Chronic recurrent multifocal osteomyelitis
Claforan 2gm/Vial,P, 0000.0000,000000,200,Flatulence
Peptol Tab 300mg,P, 0000.1934,007012,200,Hand Injuries
Capoten Tab 25mg,P, 0000.0000,003798,200,"Reflex, Abnormal"
Capoten Tab 50mg,P, 0000.3019,003798,200,Acute Disease
Capoten Tab 100mg,P, 0000.0000,003798,200,NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5
Cholagest Tab,O, 0000.0000,003612,200,"Charcot-Marie-Tooth disease, Type 2B2"
Super Multi Vit And Minerals Tab,O, 0000.0000,004227,200,Pallister Killian syndrome
Quibron T Syr,P, 0000.0000,003801,200,Out-of-Hospital Cardiac Arrest
High Potency Vit And Minerals,O, 0000.0000,000000,200,"AUTOIMMUNE INTERSTITIAL LUNG, JOINT, AND KIDNEY DISEASE"
Stomaax,O, 0000.0000,005256,200,"Charcot-Marie-Tooth disease, Type 2B2"
Sulfarlem Choline Tab,O, 0000.0000,000000,200,"Fatigue Syndrome, Chronic"
Zinc 15mg Tab,O, 0000.0000,005109,200,Foreign Bodies
Calcium Liquid,O, 0000.0000,000000,200,"MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 3"
Ditropan Syr 5mg/5ml,P, 0000.0000,000000,200,"BLEEDING DISORDER, PLATELET-TYPE, 15"
Tempra Tab 80mg,O, 0000.0000,004616,200,Marfanoid Habitus with Microcephaly and Glomerulonephritis
Magic White Anti Bac Lot Hand Sop,O, 0000.0000,000000,200,Distal Osteosclerosis
Scholl Antifung Tolnaftate Athl Foot Gel,O, 0000.0000,000000,200,Gonorrhea
Vitamin B12 Tab 500mcg,O, 0000.0000,004669,200,"Hexosaminidase A Deficiency, Adult Type"
Childrens Vitamins Tab Chewable W Iron,O, 0000.0000,000000,200,Pallister Killian syndrome
Throat Lozenges 1.5mg,O, 0000.0000,004773,200,Encephalocele
O A Crine Tab,O, 0000.0000,003612,200,"Chromosome 5, monosomy 5q35"
Bactrim Roche Inj,P, 0000.0000,004328,200,Duodenal Diseases
Septra Injection,P, 0000.0000,017065,200,Encephalocele
Yutopar Tab 10mg,P, 0000.0000,003801,200,Discrete Subaortic Stenosis
Potaba Tab 0.5gm,P, 0000.0000,004257,200,Ocular Myopathy with Curare Sensitivity
Dan-Tar Plus Shampoo,O, 0000.0000,011211,200,Alcohol Withdrawal Seizures
Natural Source Vitamin C Tab 100mg,O, 0000.0000,000000,200,"Nephroma, Mesoblastic"
Natural Source Vit C Waf 500mg Chewable,O, 0000.0000,000000,200,Fatigue
Apo Prednisone Tab 50mg,P, 0000.0000,003636,200,Dystonia 16
Somophyllin 12 Src 250mg,P, 0000.0000,000000,200,"GLAUCOMA 3, PRIMARY CONGENITAL, E"
Somophyllin 12 Src 50mg,P, 0000.0000,000000,200,Carnevale Hernandez Castillo syndrome
Somophyllin 12 Src 100mg,P, 0000.1404,000000,200,"Mental Retardation, X-Linked 3"
Meda Sedaphen,O, 0000.0000,000000,200,Brain Diseases
Secaris,O, 0000.0000,011656,200,Inappropriate ADH Syndrome
Lubricating Nasal Mist,O, 0000.0000,003550,200,"Faciocardiomelic Dysplasia, Lethal"
Vitamin B Compound Tab,O, 0000.0000,004755,200,Major Affective Disorder 2
Formule 515 Plus,O, 0000.0000,003619,200,MENTAL HEALTH WELLNESS 2
Insulin Mixtard Nordisk Inj,O, 0000.0000,000000,200,"Dysfibrinogenemia, Congenital"
Trisyn Crm,P, 0000.0000,000000,200,Leukemia L5178
Super Cod Liver Oil,O, 0000.0000,004227,200,Inflammatory Bowel Disease 8
Potassium Tab 99mg,O, 0000.0000,000000,200,Potter Type III Polycystic Kidney Disease
Calciferol Tab 50000unit,P, 0000.0000,004458,200,"Rhinitis, Allergic, Perennial"
Calciferol In Oil Inj 500000unit/Ml,P, 0000.0000,004458,200,Digestive System Abnormalities
Zantac Tab 150mg,P, 0000.0000,004253,200,Hypertrichosis congenital generalized X-linked
Dieta Citrus,O, 0000.0000,005213,200,Glycogen Storage Disease Type III
Bio C 600 Tab,O, 0000.0000,004325,200,Carnevale Hernandez Castillo syndrome
Sulfex 10%,P, 0000.0000,000000,200,Acheiropodia
Xylo Pfan,O, 0000.0000,000000,200,"Carbohydrate Metabolism, Inborn Errors"
Inapsine Inj 2.5mg/Ml,P, 0000.0000,000000,200,Radius absent anogenital anomalies
Isoptin Tab 80mg,P, 0000.0000,003525,200,Histrionic Personality Disorder
Isoptin Tab 120mg,P, 0000.0000,003525,200,"Nose Deformities, Acquired"
Sero-Mse,O, 0000.0000,005188,200,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 10"
Tbmp Tab,O, 0000.0000,005188,200,"GLAUCOMA 3, PRIMARY CONGENITAL, E"
Tli,O, 0000.0000,005188,200,"Charcot-Marie-Tooth disease, Type 2B2"
Sero Cr Tab 0.2mg,O, 0000.0000,005188,200,Feline Infectious Peritonitis
Sero E 500 Cap,O, 0000.0000,005188,200,Feline Infectious Peritonitis
C Herbaplex,O, 0000.0000,005436,200,Mesonephroma
Calcium And Magnesium Supplement Tab,O, 0000.0000,004287,200,"Niemann-Pick Disease, Type B"
Maglucate Tab 500mg,O, 0000.0000,003550,200,Cataract congenital Volkmann type
Calcimag Tab,O, 0000.0000,005118,200,"Parathyroid Glands, Agenesis Of"
Bevitin Tab 50mg,O, 0000.0000,005118,200,Gonorrhea
Soft + Dri Non-Sting Solid A/P Scented,O, 0000.0000,004258,200,Colonic Pseudo-Obstruction
Intal Inhaler,P, 0000.0000,012538,200,Glycogen Storage Disease Type III
Eldisine Inj 5mg/2ml,P, 0000.0000,007005,200,Cerebral Small Vessel Diseases
Satinique Anti-Dandruff Crm Rinse,O, 0000.0000,000000,200,Gout
Lysamine Diet Supp Amp-Tab,O, 0000.0000,005423,200,Mastoiditis
Nutrol Enfants,O, 0000.0000,005042,200,Hemiplegia
Antiseptic Hand Soap,O, 0000.0000,000000,200,"Hearing Loss, Unilateral"
Antibacterial Hand Soap,O, 0000.0000,000000,200,Hereditary vertical nystagmus
Vermox Tablets 100 Mg,P, 0000.0000,007259,200,Neoplasm Micrometastasis
A Vibon Tab 10000unit,O, 0000.0000,005118,200,Ataxia-Microcephaly-Cataract Syndrome
Balanced B Complex 100 Time Release Tab,O, 0000.0000,004037,200,Potter Type III Polycystic Kidney Disease
Niacin Tab 500mg Yeast Free,O, 0000.0000,008541,200,"Basaloid Follicular Hamartoma Syndrome, Generalized, Autosomal Dominant"
Xl 10 Antiseptic Hand Soap,O, 0000.0000,004528,200,Hypertrichosis congenital generalized X-linked
Adalat Cap 10mg,P, 0000.0000,000000,200,Adenoameloblastoma
Vitamin C Tab 500mg Orange Flavor,O, 0000.0000,000000,200,Contrecoup Injury
Monoject Insulin Reaction Gel 40%,O, 0000.0000,000000,200,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 32"
Wesclean Antiseptic Hand Soap 0.5%,O, 0000.0000,000000,200,"Cataract, Crystalline Aculeiform"
Formule 115 Dm,O, 0000.0000,004208,200,"Onychogryposis, Pedal, with Keratosis Plantaris and Coarse Hair"
Vitamine C 500 Tab,O, 0000.0000,005118,200,"Chondrodysplasia, blomstrand type"
A+ Zinc Tab,O, 0000.0000,004755,200,Pleural Neoplasms
Cyclocort Ont 0.1%,P, 0000.5170,005208,200,Megalencephaly with Dysmyelination
Loftran Cap 7.5mg,P, 0000.0000,000000,200,"Hearing Loss, Unilateral"
Tylenol Regular Strength Tab 325mg,O, 0000.0131,004569,200,Deafness conductive ptosis skeletal anomalies
Tylenol Extra Strength Tab 500mg,O, 0000.0154,004569,200,Mental Retardation And Microcephaly With Pontine And Cerebellar Hypoplasia
Triaminic Dm Cough Control Loz 10mg,O, 0000.0000,000000,200,IMMUNODEFICIENCY 21
White Petroleum Jelly 100%,O, 0000.0000,003762,200,Osteosclerosis
Sero-Spn,O, 0000.0000,005188,200,Oslam syndrome
Carotrophic Chelate Tab,O, 0000.0000,004805,200,"AXENFELD-RIEGER SYNDROME, TYPE 3"
Maltecaps Adultes,O, 0000.0000,000000,200,Beta-Ureidopropionase Deficiency
Minipress,P, 0000.2845,016419,200,Deafness conductive ptosis skeletal anomalies
Exocaine Odor Free Crm 10%,O, 0000.0000,003945,200,Pancreatoblastoma
Children'S Chewable Multi Vit W Iron,O, 0000.0000,000000,200,Miyoshi myopathy
Neo Synephrine Nasal Spray 0.5%,O, 0000.0000,000000,200,"Pectus Excavatum, Macrocephaly, Short Stature, Dysplastic Nails"
A To Z Mvm Tab,O, 0000.0000,004287,200,Absent radii and thrombocytopenia
Alpha Chymolean Liq 750unit/Vial,O, 0000.0000,004827,200,Miyoshi myopathy
Heparin Inj 1000 Unit/Ml(Beef Lung),O, 0000.0000,004827,200,"Cardiomyopathy, Familial Hypertrophic, 10"
Heparin Inj 10000unit/Ml(Beef Lung),O, 0000.0000,004827,200,Ocular Myopathy with Curare Sensitivity
Hepalean Low Dose Inj 5000unit/0.2ml,O, 0000.0000,004827,200,"Hearing Loss, Bilateral"
Calcium Tab W Vit D,O, 0000.0000,000000,200,Nidovirales Infections
Formula 2,O, 0000.0000,004724,200,"LUNG DISEASE, IMMUNODEFICIENCY, AND CHROMOSOME BREAKAGE SYNDROME"
Timed Release Mega Vim 75,O, 0000.0000,004403,200,Leukemia L5178
Direxin For Allergies And Hay Fever Cap,O, 0000.0000,000000,200,Cone-Rod Dystrophy 12
Tagamet 400 Tab,P, 0000.3164,000000,200,Blue diaper syndrome
Tagamet 600 Tab,P, 0000.3677,000000,200,DIAMOND-BLACKFAN ANEMIA 13
Perphenazine 8 Tab 8mg,P, 0000.0000,004901,200,Iatrogenic Disease
Fluphenazine 5 Tab 5mg,P, 0000.0000,004901,200,Posterior column ataxia
Hyperlyte Cr Conc 20ml/Dose,O, 0000.0000,000000,200,Pseudoaminopterin syndrome
Hydrosone Cream,O, 0000.0000,005003,200,Pulmonary Eosinophilia
Lactate De Calcium Tab 505mg,O, 0000.0000,000000,200,Leigh Syndrome Due To Mitochondrial Complex II Deficiency
Lozide,P, 0000.1277,005096,200,Cakut
