drugName,drugPrescStat,price,manufNo,maxDosage,disease,quantity
Diasol 34 Fkf-120 Dextrose Free,O, 0000.0000,000000,200,Foreign Bodies,2000
Mega B-50 Vit B Complex Tab,O, 0000.0000,004992,200,Osteosarcoma,2000
Arthrinol 325 Cap 325mg,O, 0000.0000,000000,200,Epilepsy  Generalized,2000
Arthrinol 500 Cap 500mg,O, 0000.0000,000000,200,Oculoauricular Syndrome,2000
Acetaminophen Tab 325mg,O, 0000.0000,004917,200,Deafness hyperuricemia neurologic ataxia,2000
Spectrum 4 Cap,O, 0000.0000,004781,200,Navajo neurohepatopathy,2000
Betaloc Iv Inj 1 Mg/Ml,P, 0000.0000,009307,200,Neoplasms  Fibrous Tissue,2000
Tropicaine Topical Aerosol 8%,O, 0000.0000,005274,200,Retinitis Pigmentosa 6,2000
Mag/Cal 1:1 Capsules W Vitamin D,O, 0000.0000,004785,200,Basaloid Follicular Hamartoma Syndrome  Generalized  Autosomal Dominant,2000
Neo Cal-D-500 Fct,O, 0000.0000,004735,200,Fatigue Syndrome  Chronic,2000
Tea For Coughs No 8,O, 0000.0000,000000,200,LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2,2000
Oral-B Minute Gel,O, 0000.0000,004848,200,Amaurosis hypertrichosis,2000
Vitamin E Cap 1000unit Usp,O, 0000.0000,004967,200,Hyperinsulinemic Hypoglycemia  Familial  4,2000
907a Acid Hemodialysis Conc,O, 0000.0000,000000,200,Oculoauriculofrontonasal syndrome,2000
D 12077,O, 0000.0000,000000,200,Rhinitis  Allergic  Perennial,2000
Theo-Dur 450 Mg,P, 0000.0000,009307,200,Iatrogenic Disease,2000
Ativan Subl Tab 0.5mg,P, 0000.0000,000000,200,Corneal Endothelial Cell Loss,2000
Vancocin Cp Inj 1gm/Vial,P, 0000.0000,008641,200,Chromosome 2  monosomy 2pter p24,2000
Gestamine Comprimes,O, 0000.0000,004729,200,EPILEPTIC ENCEPHALOPATHY  EARLY INFANTILE  52,2000
Calcium 250mg W Vit D,O, 0000.0000,004967,200,ASTHMA-RELATED TRAITS  SUSCEPTIBILITY TO  4,2000
Ferrous Sulfate Tab 325mg Usp,O, 0000.0000,004967,200,PREIMPLANTATION EMBRYONIC LETHALITY 1,2000
Sps Suspension 15gm/60ml,P, 0000.1690,000000,200,HYPERGLYCINURIA,2000
Colgate Fluoride Toothpaste 0.243% Mint Gel,O, 0000.0000,003951,200,Osteolysis  Essential,2000
Docusate Calcium Cap 240mg Usp,O, 0000.0000,005241,200,Neoplasm Micrometastasis,2000
Childrens Chewable Vit W Minerals Tab,O, 0000.0000,004967,200,Dyskeratosis Congenita  Autosomal Recessive,2000
Bronchosirum Pour Enfants,O, 0000.0000,003809,200,Adenocarcinoma  Clear Cell,2000
Mvi-Paediatric Infusion,O, 0000.0000,000000,200,MICROVASCULAR COMPLICATIONS OF DIABETES  SUSCEPTIBILITY TO  2,2000
Duo Cvp With Vitamin K Cap,P, 0000.0000,000000,200,Orofaciodigital syndrome 3,2000
Vaponefrin Solution 2.25%,O, 0000.0000,000000,200,Craniopharyngioma,2000
Apresoline,P, 0000.0000,008892,200,Heavy Metal Poisoning  Nervous System,2000
New Skin Clear Liquid Bandage,O, 0000.0000,004681,200,Dysfibrinogenemia  Congenital,2000
Tylenol Regular Strength Caplets 325mg,O, 0000.0131,004569,200,Fused Kidney,2000
Tylenol Extra-Strength Caplets 500mg,O, 0000.0157,004569,200,Anophthalmia plus syndrome,2000
Sinutab N.D. Extra Strength Tablets,O, 0000.0000,000000,200,Hyper-IgM Immunodeficiency Syndrome  Type 1,2000
Spersadex Oph Soln 0.1%,P, 0000.0000,000000,200,DIAMOND-BLACKFAN ANEMIA 13,2000
E Vitamin With C-500 Tab,O, 0000.0000,003751,200,Glycogen Storage Disease IC,2000
Calcium-Fer-Magnesium Avec Adc Tab,O, 0000.0000,003751,200,Panniculitis,2000
Calcium Tablets W Vitamin D,O, 0000.0000,000000,200,Rolandic Epilepsy  Mental Retardation  And Speech Dyspraxia  Autosomal Dominant,2000
Vitamin B1 Cap 250mg,O, 0000.0000,004992,200,MACULAR DEGENERATION  X-LINKED ATROPHIC,2000
Face-Zone Sun Block 15 Spf,O, 0000.0000,003916,200,Airway Remodeling,2000
Tridil Inj 5mg/Ml,O, 0000.0000,000000,200,Alcohol Withdrawal Seizures,2000
Teva-Doxycycline,P, 0000.0000,014318,200,Rectocele,2000
Spersacarpine Oph Soln 10mg/Ml,P, 0000.0000,000000,200,Glycogen Storage Disease Type III,2000
Spersacarpine Oph Soln 30mg/Ml,P, 0000.0000,000000,200,Growth retardation  Alopecia  Pseudoanodontia and Optic atrophy,2000
Atropine 1% Oph Soln,P, 0000.0000,000000,200,Megalencephaly with Dysmyelination,2000
Spersanicol Oph Soln 5mg/Ml,P, 0000.0000,000000,200,Methylenetetrahydrofolate reductase deficiency,2000
Spersanicol Oph Ont 10mg/Gm,P, 0000.0000,000000,200,Mental Retardation  X-Linked 59,2000
Ringer'S Inj Usp,O, 0000.0000,000000,200,Lujan Fryns syndrome,2000
Sod Chloride 0.3% Inj Usp,O, 0000.0000,000000,200,Bronchial Diseases,2000
Pms Perphenazine Tab 16mg,P, 0000.0000,003550,200,Miyoshi myopathy,2000
Pms-Trihexyphenidyl,P, 0000.0000,003550,200,EPILEPTIC ENCEPHALOPATHY  EARLY INFANTILE  24,2000
Pms Fluphenazine Tab 2mg,P, 0000.0000,003550,200,Cone-Rod Dystrophy 12,2000
Pms Fluphenazine Tab 5mg,P, 0000.0000,003550,200,Hypogonadotropic hypogonadism and anosmia  autosomal dominant,2000
Betamethasone Valerate Lot 0.1% Usp,P, 0000.0000,004919,200,Hashimoto-Pritzker syndrome,2000
Herbal Diuretic Tea Bags,O, 0000.0000,005268,200,Classical Lissencephalies and Subcortical Band Heterotopias,2000
Stop-Hemo Sterile Pad 100%,O, 0000.0000,000000,200,Psoriasis,2000
Upsanol Efferverscent 325mg,O, 0000.0000,000000,200,Autolysis,2000
Upsanol Efferv Extra Fort 500mg,O, 0000.0000,000000,200,Major Affective Disorder 2,2000
Estragyn Vaginal Cream,P, 0000.0000,016647,200,Megalencephaly with Dysmyelination,2000
Heparin Lock Flush Solution 100unit/Ml Usp,O, 0000.0000,003732,200,Obsessive-Compulsive Disorder,2000
Calci-Yum Plus Magnesium + D3,O, 0000.0000,011592,200,Nystagmus  Congenital,2000
Huile Minerale Lourde Usp,O, 0000.0000,000000,200,Metabolic Syndrome,2000
Sleep-Eze D Tab 25mg,O, 0000.0000,000000,200,Heavy Metal Poisoning  Nervous System,2000
Burinex Tab 5mg,P, 0000.0000,004489,200,Adrenoleukodystrophy,2000
Burinex Tab 1mg,P, 0000.0000,004489,200,Pleural Neoplasms,2000
Cardizem Sr 120mg Cap,P, 0000.0000,004657,200,Diabetic Cardiomyopathies,2000
Tylenol Drops 80mg/Ml Infants,O, 0000.0000,004569,200,Monieziasis,2000
Beta-Carotene Tab 25000unit,O, 0000.0000,004448,200,Marfan Syndrome type 2,2000
Tincture Of Iodine,O, 0000.0000,000000,200,Addison Disease,2000
Glycerin Usp,O, 0000.0000,000000,200,Flatulence,2000
Cortizone-5 Creme 0.5%,O, 0000.0000,005144,200,Retinitis Pigmentosa 6,2000
Liquid Cal-Mag,O, 0000.0000,005188,200,Osteosarcoma,2000
Tma Tab,O, 0000.0000,005188,200,Amyloidosis  Cerebroarterial  App-Related,2000
Sundown Sunscreen Spf 4,O, 0000.0000,004402,200,MICROPHTHALMIA/COLOBOMA AND SKELETAL DYSPLASIA SYNDROME,2000
Buckley'S Dm,O, 0000.0000,011545,200,Epilepsy  Benign Neonatal,2000
Anti-Acne Formula For Men,O, 0000.0000,003916,200,Myoclonus  Cerebellar Ataxia  and Deafness,2000
Provera 10mg Tablets,P, 0000.1804,004908,200,Hearing Loss  Unilateral,2000
Huile Minerale Legere Nf,O, 0000.0000,000000,200,Nephropathy  Progressive Tubulointerstitial  with Cholestatic Liver Disease,2000
Cal-Mag (One To One) With Potass + Zinc,O, 0000.0000,004227,200,Pleural Neoplasms,2000
Calcium 600 Tab,O, 0000.0000,004878,200,Chronic recurrent multifocal osteomyelitis,2000
Acetaminophen Oral Solution 80mg/Ml Usp,O, 0000.0000,000000,200,Mesonephroma,2000
Acetaminophen Oral Soln 80mg/5ml Usp,O, 0000.0000,000000,200,Craniopharyngioma,2000
Childrens Chewable Acetaminophen Tab 80mg Usp,O, 0000.0000,000000,200,Pelvic Organ Prolapse,2000
Caffedrine Tab 100mg,O, 0000.0000,005144,200,Acheiropodia,2000
Kaopectate Tablets 600mg,O, 0000.0000,000000,200,Cystitis  Interstitial,2000
Orifer F Tab,O, 0000.0000,004657,200,Amyloidosis  Cerebroarterial  App-Related,2000
Canesten 1 Crm 10%,P, 0000.0000,000000,200,ICHTHYOSIS  CONGENITAL  AUTOSOMAL RECESSIVE 8,2000
Procainamide-375 Cap 375mg,P, 0000.0000,004901,200,Macrophage Activation Syndrome,2000
Herbatol Lax Liq,O, 0000.0000,000000,200,PREIMPLANTATION EMBRYONIC LETHALITY 1,2000
Choline Inositol Methionine,O, 0000.0000,005225,200,Hoyeraal Hreidarsson syndrome,2000
D13021 Conc Electrolyte Renal Dialysis,O, 0000.0000,000000,200,Microcephaly nonsyndromal,2000
D12058 Conc Electrolyte Renal Dialysis,O, 0000.0000,000000,200,Obsessive-Compulsive Disorder,2000
D12004 Conc Electrolyte Renal Dialysis,O, 0000.0000,000000,200,Retinoschisis  Autosomal Dominant,2000
D12031 Conc Electrolyte Renal Dialysis,O, 0000.0000,000000,200,Hypovolemia,2000
D12047 Conc Electrolyte Renal Dialysis,O, 0000.0000,000000,200,PROTHROMBIN DEFICIENCY  CONGENITAL,2000
Hexadrol Phosphate Inj 4mg/Ml,P, 0001.8252,010100,200,Out-of-Hospital Cardiac Arrest,2000
Hexadrol Phosphate Inj 10mg/Ml,P, 0001.3856,010100,200,Fatigue Syndrome  Chronic,2000
Children Pediatric Vitamins Drops,O, 0000.0000,005088,200,MICROVASCULAR COMPLICATIONS OF DIABETES  SUSCEPTIBILITY TO  2,2000
Apo-Ranitidine Tablet 150mg,P, 0000.0000,003636,200,Chondrodysplasia  blomstrand type,2000
Apo-Ranitidine Tablet 300mg,P, 0000.0000,003636,200,Histrionic Personality Disorder,2000
Sential Crm,P, 0000.0000,000000,200,C1q DEFICIENCY,2000
All - C Tab 200mg,O, 0000.0000,006349,200,Foreign Bodies,2000
Huile De Foie De Fletan Et Calciferol,O, 0000.0000,004475,200,Muscular Dystrophy  Duchenne,2000
Novo-Hydroxyzin,P, 0000.0000,014318,200,Hyaline Membrane Disease,2000
Uniphyl Tab 400mg,P, 0000.0000,000000,200,Pseudoarthrogryposis,2000
Chlor-Tripolon,O, 0000.0000,010774,200,Parathyroid Glands  Agenesis Of,2000
Antacid Tablets 500mg,O, 0000.0000,004935,200,Metabolic Syndrome,2000
Vitamin C Cap 1000mg,O, 0000.0000,004111,200,Neoplasm Micrometastasis,2000
Hydroxyzine-25,P, 0000.0000,004901,200,Muscular Dystrophy  Duchenne,2000
Gel-Kam 3.28% Concentrate,O, 0000.0000,000000,200,Leukostasis,2000
Sandoz Dexamethasone,P, 0000.0000,012027,200,EPIDERMOLYSIS BULLOSA SIMPLEX WITH NAIL DYSTROPHY,2000
Formula S.L.P.,O, 0000.0000,003944,200,Radiation Injuries,2000
Zostrix Cream 0.025%,O, 0000.0000,008784,200,Hamano Tsukamoto syndrome,2000
Texacort Solution 1%,P, 0000.0000,000000,200,Methylenetetrahydrofolate reductase deficiency,2000
Apo-Doxy Cap 100mg,P, 0000.0000,003636,200,Microcephaly nonsyndromal,2000
Trimipramine,P, 0000.0000,014412,200,Mental Retardation  X-Linked 84,2000
Water Babies Sunblock Lotion Spf 15,O, 0000.0000,000000,200,Deafness  Autosomal Dominant 13,2000
Xero-Lube,O, 0000.0000,000000,200,Lp(A) Deficiency  Congenital,2000
White Petroleum Jelly Usp Ointment,O, 0000.0000,003857,200,Hyperkeratosis  Epidermolytic,2000
Vitamine E Cap 400unit Usp,O, 0000.0000,003753,200,Choroid plexus calcification with mental retardation,2000
Mag 2 Pwr 1.5gm/Pck,O, 0000.0000,000000,200,Marfan Syndrome type 2,2000
Pms Hydroxyzine Syr 10mg/5ml,P, 0000.0000,003550,200,Ectoparasitic Infestations,2000
Pms Hydroxyzine Cap 50mg,P, 0000.0000,003550,200,Kleefstra Syndrome,2000
D 12105,O, 0000.0000,000000,200,Inflammatory Bowel Disease 22,2000
Grippalin + C Tab,O, 0000.0000,004687,200,Contusions,2000
Isoptin Sr,P, 0000.5481,016524,200,Nocardia Infections,2000
Hydroxyzine Hydrochloride Injection Usp,P, 0000.0000,012027,200,DEAFNESS  AUTOSOMAL DOMINANT 50,2000
Upsanol Effervescent Tab 325mg,O, 0000.0000,000000,200,Gout,2000
Blemish Control Toner,O, 0000.0000,004619,200,Granddad Syndrome,2000
Extra Strength Tylenol Cold Nighttime Caplet,O, 0000.0000,004569,200,Classical Lissencephalies and Subcortical Band Heterotopias,2000
Tears Naturale Ii,O, 0000.0000,007277,200,Mandibulofacial dysostosis  Treacher Collins type  autosomal recessive,2000
Chlorpromazine Hydrochloride Injection,P, 0000.0000,012027,200,Neoplasms  Fibrous Tissue,2000
Stress B Complex W Vit C+E Plus Zinc + Copper,O, 0000.0000,004967,200,Maxillary Sinusitis,2000
Folic Acid Tab 0.4mg Usp,O, 0000.0000,004967,200,Addison Disease,2000
Acetaminophen Childrens Chewable Tab 80mg,O, 0000.0000,005450,200,BLEEDING DISORDER  PLATELET-TYPE  15,2000
Teva-Sulindac,P, 0000.0000,014318,200,Pectus Excavatum  Macrocephaly  Short Stature  Dysplastic Nails,2000
Coptin Oral Suspension,P, 0000.0000,003741,200,Glycogen Storage Disease IC,2000
Dristan Nd Ii Caplets,O, 0000.0000,000000,200,Chromosome 15q26-Qter Deletion Syndrome,2000
White Petroleum Jelly 100% Bp,O, 0000.0000,005215,200,Kidney Diseases  Cystic,2000
Kidmag Vitamins W Magnesium Tab,O, 0000.0000,004673,200,Ocular Myopathy with Curare Sensitivity,2000
Oculube Ont,O, 0000.0000,000000,200,Leigh Syndrome Due To Mitochondrial Complex II Deficiency,2000
After Burn Gel 0.5%,O, 0000.0000,005251,200,Myoclonus  Cerebellar Ataxia  and Deafness,2000
Alocort Crm 1%,P, 0000.1392,000000,200,Bronchial Diseases,2000
Complex 15 Cream,O, 0000.0000,007016,200,Rhinitis  Allergic  Perennial,2000
Duricef Tab 1gm,P, 0000.0000,003801,200,Chromosome 1q  duplication 1q12 q21,2000
Apo Metoprolol (Type L) Tab 50mg,P, 0000.0000,003636,200,Foot Deformities,2000
Nitrogard-Sr Tab 5mg,O, 0000.0000,000000,200,Panniculitis,2000
Haloperidol Tablets 2mg Usp,P, 0000.0000,000000,200,Rhinitis  Allergic  Perennial,2000
Pavi Elle Roll On 17.5%,O, 0000.0000,003685,200,Atelosteogenesis type 2,2000
Sun Stop Paba Lotion By Bronztan Spf15,O, 0000.0000,005386,200,Mental Retardation  X-Linked 59,2000
Ratio-Ectosone Regular Lotion 0.1%,P, 0000.0000,014318,200,Hearing Disorders,2000
Trousse Antipoison Pour Enfants Liq,O, 0000.0000,004897,200,Meier Blumberg Imahorn syndrome,2000
Phenytoin Sodium Inj 50mg/Ml,P, 0000.0000,000000,200,Diabetic Cardiomyopathies,2000
Soothe Allergy,O, 0000.0000,005661,200,Calabro syndrome,2000
Muro 128 Ont 5%,O, 0000.0000,005661,200,Myoclonus  Cerebellar Ataxia  and Deafness,2000
Muro 128 Soln 5%,O, 0000.6718,005661,200,Capgras Syndrome,2000
Tear Drops,O, 0000.0000,000000,200,HYPERGLYCINURIA,2000
Vitamin B12 Tab 250mcg,O, 0000.0000,000000,200,Chromosome 5  monosomy 5q35,2000
Apo-Metoprolol (Type L) Tab 100mg,P, 0000.0000,003636,200,Pectus Excavatum  Macrocephaly  Short Stature  Dysplastic Nails,2000
Betagan Oph Soln 0.25%,P, 0004.2962,003574,200,Chronic Kidney Disease-Mineral and Bone Disorder,2000
Childrens Chewable Multi Vit W Iron,O, 0000.0000,004967,200,Chromosome 18 Pericentric Inversion,2000
Spersaphrine 2.5% Oph Soln,O, 0000.0000,000000,200,Acheiropodia,2000
Vitamine C Tab 100mg Usp,O, 0000.0000,004765,200,Artificial Lens Implant Migration,2000
Artritol Plus Fort Cap 500mg,O, 0000.0154,003806,200,Greig cephalopolysyndactyly syndrome,2000
Oxytocin Inj 10unit/Ml Usp,O, 0000.0000,000000,200,Pemphigoid Gestationis,2000
Magnesium Liq 114mg/15ml,O, 0000.0000,004383,200,Chromosome 15q26-Qter Deletion Syndrome,2000
Keflin Add-Vantage Inj 1gm/Vial,P, 0000.0000,007005,200,Ovarian Cysts,2000
Topicort Gel 0.05%,P, 0000.0000,000000,200,MANDIBULOFACIAL DYSOSTOSIS WITH ALOPECIA,2000
H-13821,O, 0000.0000,000000,200,Distal Osteosclerosis,2000
Soft + Dry Non-Sting Antipers Aer Sport 4%,O, 0000.0000,004258,200,EPILEPTIC ENCEPHALOPATHY  EARLY INFANTILE  52,2000
Colgate Mint Toothpaste 0.243%,O, 0000.0000,003951,200,Elejalde Disease,2000
Theraplex F Tab 0.12mg,O, 0000.0000,005282,200,Leukemia L5178,2000
Idarac Tab 400mg,P, 0000.8948,000000,200,Onychogryposis  Pedal  with Keratosis Plantaris and Coarse Hair,2000
Band-Aid Medic Fabric 0.4mg/Pad,O, 0000.0000,004402,200,Major Affective Disorder 2,2000
Min-Trax Tab,O, 0000.0000,005282,200,Carbohydrate Metabolism  Inborn Errors,2000
Benadryl Decongestant Tablets,O, 0000.0000,000000,200,Coronary Artery Disease  Autosomal Dominant  1,2000
A.S.A. Enteric Coated Tab 650mg No10,O, 0000.0000,000000,200,Monieziasis,2000
E-200 Iu Cap,O, 0000.0000,000000,200,Cataract  Congenital  Cerulean Type  3,2000
Solystat,P, 0000.0000,011656,200,Bothnia Retinal Dystrophy,2000
Modecate Concentrate,P, 0000.0000,003798,200,Diabetes Mellitus  Insulin-Dependent  22,2000
Tegretol Cr Tab 400mg,P, 0000.2008,007277,200,RETINAL DYSTROPHY AND IRIS COLOBOMA WITH OR WITHOUT CONGENITAL CATARACT,2000
Sandimmune Soft Gelatin Cap 100mg,P, 0000.0000,000000,200,Loose Anagen Hair Syndrome,2000
Apo-Timop Oph Soln 0.25%,P, 0000.0000,003636,200,Miyoshi myopathy,2000
Apo-Timop Liq 0.5%,P, 0000.0000,003636,200,Acrokeratoderma  Hereditary Papulotranslucent,2000
Apo-Timol Tablets 5mg,P, 0000.0000,003636,200,CONGENITAL DISORDER OF GLYCOSYLATION  TYPE Iy,2000
Apo-Timol Tablets 10mg,P, 0000.0000,003636,200,Maxillary Sinusitis,2000
Apo-Timol Tablets 20mg,P, 0000.0000,003636,200,Alcohol Withdrawal Seizures,2000
Apo-Pindol Tab 5mg,P, 0000.0000,003636,200,Alcohol Withdrawal Seizures,2000
Apo-Pindol Tab 10mg,P, 0000.0000,003636,200,Fatigue,2000
Apo-Pindol Tab 15mg,P, 0000.0000,003636,200,Chromosome 10  trisomy 10pter p13,2000
Inflamase Forte Oph Soln 1%,P, 0000.0000,003853,200,Bulbo-Spinal Atrophy  X-Linked,2000
Inflamase Oph Soln 0.125%,P, 0000.0000,003853,200,Addison Disease,2000
Children'S Chewable Acetaminophen Tab 80mg,O, 0000.0000,009511,200,Holoprosencephaly 6,2000
Bio-Efa Borage Gla 240 Cap,O, 0000.0000,004912,200,Glycogen Storage Disease Type III,2000
Materna Prenatal Tab,O, 0000.0000,000000,200,AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,2000
Flarex,P, 0001.9310,007277,200,Retinitis Pigmentosa 29,2000
Novo-Nifedin Cap 10mg,P, 0000.0000,004773,200,Parkinsonism-Dystonia  Infantile,2000
Phos-Cal Avec A-D,O, 0000.0000,003753,200,MENTAL RETARDATION  AUTOSOMAL RECESSIVE 45,2000
Pro-Gla Caps,O, 0000.0000,004263,200,Inflammatory Bowel Disease 22,2000
Children'S Acetaminophen Chewable Tab 80mg,O, 0000.0000,000000,200,Gingivitis  Necrotizing Ulcerative,2000
Pdp-Diphenhydramine,O, 0000.0000,011656,200,Iatrogenic Disease,2000
Pms-Dimenhydrinate Syr 3mg/Ml,O, 0000.0000,003550,200,Double Nail for Fifth Toe,2000
Complexe B 75mg,O, 0000.0000,005345,200,Faciocardiomelic Dysplasia  Lethal,2000
Coenzyme Q10 Tab 10mg,O, 0000.0000,011592,200,Hemophagocytic lymphohistiocytosis  familial  2,2000
Garfield Chewable Multivitamins Plus Iron,O, 0000.0000,003691,200,MENTAL RETARDATION  AUTOSOMAL RECESSIVE 45,2000
Ferodan Syrup 150mg/5ml,O, 0000.0000,004835,200,Posterior column ataxia,2000
Muppets Fluoride Toothpaste 0.22%,O, 0000.0000,004848,200,Acute Disease,2000
Pms-Bethanechol Chloride Tab 10mg,P, 0000.0000,003550,200,Carotid Artery Injuries,2000
Pms-Haloperidol Soln 2mg/Ml,P, 0000.0000,003550,200,Duodenal Diseases,2000
Childrens Acetaminophen Chew Tab 80mg,O, 0000.0000,005386,200,Hyperinsulinemic Hypoglycemia  Familial  4,2000
Atropisol Oph Soln 2%,O, 0000.0000,000000,200,ICHTHYOSIS  CONGENITAL  AUTOSOMAL RECESSIVE 8,2000
Miocarpine Oph Soln 1%,P, 0000.0000,003853,200,Chills,2000
Miocarpine Oph Soln 6%,P, 0000.0000,003853,200,Retinitis Pigmentosa 29,2000
Miocarpine Oph Soln 2%,P, 0000.0000,003853,200,Acrokeratoderma  Hereditary Papulotranslucent,2000
E-Pilo-2 Oph Soln,P, 0000.0000,003853,200,Cakut,2000
E-Pilo-6 Oph Soln,P, 0000.0000,003853,200,Otosclerosis 7,2000
E-Pilo-4 Oph Soln,P, 0000.3146,003853,200,Balkan Nephropathy,2000
E-Pilo-1 Oph Soln,P, 0000.2405,003853,200,Kallikrein hypertension,2000
Vasosulf Oph Soln,P, 0000.0000,003853,200,Obsessive-Compulsive Disorder,2000
Vasocidin Oph Soln,P, 0000.0000,000000,200,LEUKODYSTROPHY AND ACQUIRED MICROCEPHALY WITH OR WITHOUT DYSTONIA,2000
Miocarpine Oph Soln 4%,P, 0000.0000,003853,200,Foot Deformities,2000
Once-A-Day Tab,O, 0000.0000,004992,200,Cerebral Small Vessel Diseases,2000
Xeroform,O, 0000.0000,015424,200,Neuromyelitis Optica,2000
Vitamin C 1000mg Sustained Release Tab,O, 0000.0000,004933,200,Muscular Dystrophy  Congenital  associated with Calf Hypertrophy  Microcephaly  and Severe Mental Retardation,2000
Rhotrimine,P, 0000.2375,012538,200,Pelvic Organ Prolapse,2000
Rhodis Ec,P, 0000.3715,012538,200,Holoprosencephaly 6,2000
Rhodis,P, 0001.3256,012538,200,Frias syndrome,2000
Haloperidol Tab 5mg,P, 0000.0000,004901,200,Pancreatoblastoma,2000
Listermint W Fluoride Mwh Peppermint 0.022%,O, 0000.0000,005417,200,Noonan syndrome 3,2000
Pms-Sulfacetamide Sod Oph Soln 30%,P, 0000.0000,003550,200,Immune System Diseases,2000
Yodoxin Tab 210mg,P, 0000.0000,004256,200,AMYOTROPHIC LATERAL SCLEROSIS 22 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA,2000
Yodoxin Tab 650mg,P, 0000.0000,004256,200,Kidney Diseases  Cystic,2000
Feminex-500,O, 0000.0000,005164,200,Nephropathy  Progressive Tubulointerstitial  with Cholestatic Liver Disease,2000
D Vi Sol Infants Drops 400unit/Ml,O, 0000.0000,004616,200,Hyaline Membrane Disease,2000
Tri Vi Sol Infants Drops,O, 0000.0000,004616,200,Griscelli syndrome type 3,2000
Poly Vi Sol Drops Infants,O, 0000.0000,004616,200,Chronic Kidney Disease-Mineral and Bone Disorder,2000
Fer In Sol Drops,O, 0000.1547,004616,200,PREIMPLANTATION EMBRYONIC LETHALITY 1,2000
Nutrilite Daily/Quotidien,O, 0000.0000,009930,200,Discrete Subaortic Stenosis,2000
Novo-Docusod Cap 100mg,O, 0000.0000,004773,200,COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 21,2000
Sopamycetin/Hc Ont,P, 0000.0000,000000,200,Deafness  Autosomal Dominant 47,2000
After Burn Double Strength Gel,O, 0000.0000,005251,200,Obsessive-Compulsive Disorder,2000
Pancrex V Capsules,O, 0000.0000,000000,200,LEUKODYSTROPHY AND ACQUIRED MICROCEPHALY WITH OR WITHOUT DYSTONIA,2000
Oxy Clean Medicated Cleanser 0.5%,O, 0000.0000,000000,200,Loose Anagen Hair Syndrome,2000
Antacid Oral Suspension,O, 0000.0000,004935,200,Rhinitis  Allergic  Perennial,2000
Balpred Oph Susp 1%,P, 0004.2466,003807,200,Foot Deformities,2000
Contac C Cold Care Formula,O, 0000.0000,000000,200,Hypercapnia,2000
K-Exit Poudre,P, 0000.2002,004852,200,Microphthalmia associated with colobomatous cyst,2000
Ricola Swiss Lemon-Mint Herb Cough Drops,O, 0000.0000,005035,200,Griscelli syndrome type 3,2000
Or Natif Globules 5ch-30ch,P, 0000.0000,004054,200,Gingivitis  Necrotizing Ulcerative,2000
Tilade Inhaler 2mg/Aem,P, 0000.0000,000000,200,PREIMPLANTATION EMBRYONIC LETHALITY 1,2000
Ocufen Oph Soln 0.03%,P, 0000.0000,003574,200,Ramon Syndrome,2000
After Bite Liquid 3.61%,O, 0000.0000,005251,200,Cardiomyopathy  Familial Hypertrophic  10,2000
Chocolated Ex-Lax Tab 95mg,O, 0000.0000,000000,200,Hearing Loss  Bilateral,2000
Children'S Tylenol Chew Tab Grape Flv 80mg,O, 0000.0000,004569,200,Pruritic urticarial papules plaques of pregnancy,2000
Sun Defense Protection Creme Spf6,O, 0000.0000,000000,200,Acute Disease,2000
Cal Stat,O, 0000.0000,000000,200,Obsessive-Compulsive Disorder,2000
Becloforte Inhaler,P, 0000.0000,000000,200,Retinitis Pigmentosa 6,2000
Apo-Cephalex,P, 0000.0000,003636,200,Immune System Diseases,2000
Sun Defense Sun Block Creme Spf20,O, 0000.0000,000000,200,ICHTHYOSIS  CONGENITAL  AUTOSOMAL RECESSIVE 8,2000
Naturogene Tab 36mg,O, 0000.0000,004811,200,Holoprosencephaly 6,2000
Balminil Decongestionnant Sirop 30mg/5ml,O, 0000.0000,005003,200,Carnevale Hernandez Castillo syndrome,2000
Occlucort Film Forming Lot 0.05,P, 0000.2138,000000,200,BLEEDING DISORDER  PLATELET-TYPE  15,2000
Axsain Cream 0.075%,O, 0000.0000,000000,200,Oslam syndrome,2000
Azmacort Inhaler,P, 0000.0000,000000,200,Chylothorax  congenital,2000
Pce,P, 0000.0000,013965,200,Brachymesophalangy 2 and 5,2000
E-Pilo-2 2% Ophth Drops,P, 0000.0000,003853,200,Colitis,2000
Acetate Concentrate 1135,O, 0000.0000,000000,200,Chills,2000
Cod Liver Oil Liquid,O, 0000.0000,004227,200,Epilepsy  Generalized,2000
Deepcold Therapy 2% Gel,O, 0000.0000,004675,200,Nose Deformities  Acquired,2000
Lactated Ringer'S Injection Usp,O, 0000.0000,000000,200,Mandibulofacial dysostosis  Treacher Collins type  autosomal recessive,2000
Pramox Hc Cream,O, 0000.0000,004068,200,Deafness conductive ptosis skeletal anomalies,2000
Acid Concentrate 2190,O, 0000.0000,000000,200,Gingivitis  Necrotizing Ulcerative,2000
Sectral 400 Tab 400mg,P, 0000.2663,000000,200,Otosclerosis 7,2000
Monitan Tab 400mg,P, 0000.2663,000000,200,Out-of-Hospital Cardiac Arrest,2000
